Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_4_Replicate_24	-106268.79	212543.58	195462.74	41807.23	3.157,12.4632,0.038
no_mig	Round_4_Replicate_25	-106415.6	212837.2	202048.21	40123.95	3.4952,13.8658,0.0415
no_mig	Round_4_Replicate_26	-107367.55	214741.1	205098.39	39694.39	3.9213,10.7838,0.0437
no_mig	Round_4_Replicate_27	-107057.83	214121.66	193048.3	43696.42	2.5714,12.4031,0.0342
no_mig	Round_4_Replicate_28	-106406.81	212819.62	201695.57	40390.44	3.3966,12.9588,0.0412
no_mig	Round_4_Replicate_29	-106748.82	213503.64	200212.0	41800.84	2.8278,13.479,0.038
no_mig	Round_4_Replicate_30	-106429.8	212865.6	191998.88	42740.39	3.0239,12.2975,0.0359
no_mig	Round_4_Replicate_31	-106301.62	212609.24	193555.5	42281.26	3.072,12.8155,0.0368
no_mig	Round_4_Replicate_32	-111603.0	223212.0	200367.58	46953.17	1.7075,10.4735,0.0294
no_mig	Round_4_Replicate_33	-108226.18	216458.36	200966.38	40079.67	4.8975,11.9391,0.041
no_mig	Round_4_Replicate_34	-108412.38	216830.76	203969.48	39655.55	5.0223,13.6881,0.0414
no_mig	Round_4_Replicate_35	-108396.41	216798.82	202680.04	39756.35	5.1245,12.793,0.0414
no_mig	Round_4_Replicate_36	-106275.43	212556.86	197135.65	41420.0	3.1997,12.9165,0.0387
no_mig	Round_4_Replicate_37	-107038.29	214082.58	199939.83	42366.78	2.7114,11.839,0.0374
no_mig	Round_4_Replicate_38	-106351.46	212708.92	200017.92	40576.9	3.4067,13.9769,0.0403
no_mig	Round_4_Replicate_39	-106374.59	212755.18	197510.96	41125.58	3.3789,13.4573,0.039
no_mig	Round_4_Replicate_40	-107151.31	214308.62	194745.77	43275.26	2.5775,15.3687,0.0342
