W	X	Y	Z	D	SE	Z.value
 GHgam	 GAgam	 CIcol	 ac_chri	 -0.0020706113544629776	 -0.0020706113544629776	-1.088855205315993
 CMgam	 GAgam	 CIcol	 ac_chri	-0.012333109166817362	0.001650853478076868	-7.4707473016833665
BFgam	 GAgam	 CIcol	 ac_chri	-0.010165652355175785	 0.0017193064080226052	-5.912647279007948
 FRgam	 GAgam	 CIcol	 ac_chri	-0.005711028136998526	0.0028531797789329853	-2.001636272332724
 GNgam	 GAgam	 CIcol	 ac_chri	-0.011545469383436832	0.0016879347368598991	-6.839997501867349
 GQgam	 GAgam	 CIcol	 ac_chri	 0.002411392798584313	0.0019435522777249826	1.240714142974821
 UGgam	 GAgam	 CIcol	 ac_chri	-0.013325914740269972	0.0017186860846566789	-7.753547817274571
