W	X	Y	Z	D	SE	Z.value
 GHgam	 GAgam	 BFcol	 ac_chri	-0.002211287821940946	0.0019183748651617077	-1.1526880705635951
 CMgam	 GAgam	 BFcol	 ac_chri	-0.01110091152272964	0.0016113255719760247	-6.889303884823354
 BFgam	 GAgam	 BFcol	 ac_chri	-0.008574136762501195	0.0017067308266340714	-5.023719398922838
 FRgam	 GAgam	 BFcol	 ac_chri	-0.00341441633328403	0.0028527014937646377	-1.1969062801513493
 GNgam	 GAgam	 BFcol	 ac_chri	-0.010288776568158187	0.001656128725943973	-6.21254640836793
 GQgam	 GAgam	 BFcol	 ac_chri	0.0030675016303984923	0.0019322612478422775	1.5875190965113635
 UGgam	 GAgam	 BFcol	 ac_chri	-0.012023068364455663	0.0016752024199450859	-7.177083928072278
